group,sense,word,def,example
Problem & solution,the problem–response arc passages love,get to the root of,to discover the fundamental cause of a problem,Researchers are trying to get to the root of the recurring outbreaks.
Time & sequence,ordering events — vital for process & history passages,prior to,before a particular time or event,"Prior to the invention of the wheel, goods were carried by hand."
Time & sequence,ordering events — vital for process & history passages,in the wake of,"following and as a result of an event, often negative","In the wake of the flood, the government tightened building regulations."
Time & sequence,ordering events — vital for process & history passages,over the course of,during a particular period of time,The glacier retreated significantly over the course of the last century.
Time & sequence,ordering events — vital for process & history passages,in the aftermath of,"in the period following an important, usually harmful, event","In the aftermath of the war, the economy took years to recover."
Time & sequence,ordering events — vital for process & history passages,at the outset,at the very beginning of something,The risks were clearly explained to participants at the outset.
Time & sequence,ordering events — vital for process & history passages,in due course,"at an appropriate time in the future, eventually",The results of the inquiry will be published in due course.
Time & sequence,ordering events — vital for process & history passages,by the time,used to say that one event happens before or as another occurs,"By the time help arrived, the fire had destroyed several buildings."
Time & sequence,ordering events — vital for process & history passages,in the interim,during the period between two events; meanwhile,"A new system is planned; in the interim, the old one continues."
Time & sequence,ordering events — vital for process & history passages,simultaneously,happening or done at the same time,The two experiments were carried out simultaneously in separate laboratories.
Time & sequence,ordering events — vital for process & history passages,in retrospect,when looking back on a past event with present knowledge,"In retrospect, the warning signs of the collapse were obvious."
Time & sequence,ordering events — vital for process & history passages,from then on,starting from that time and continuing afterwards,"The treaty was signed, and from then on relations steadily improved."
Time & sequence,ordering events — vital for process & history passages,no sooner than,used to say one thing happened immediately after another,No sooner had the rains stopped than the river burst its banks.
Comparison & contrast,linkers that flag a similarity or a difference,in contrast to,used to highlight a clear difference between two things.,"In contrast to coastal cities, inland regions saw little change in rainfall."
Comparison & contrast,linkers that flag a similarity or a difference,by comparison,linker introducing how one thing differs when measured against another.,"The first group improved slowly; the second, by comparison, advanced rapidly."
Comparison & contrast,linkers that flag a similarity or a difference,on the other hand,introduces a contrasting point or alternative viewpoint.,"Solar power is clean; on the other hand, it depends heavily on weather."
Comparison & contrast,linkers that flag a similarity or a difference,in much the same way,signals a close similarity between two situations or processes.,Cities grow in much the same way as living organisms expand and adapt.
Comparison & contrast,linkers that flag a similarity or a difference,as opposed to,"contrasts one option directly with another, preferred alternative.",Researchers favoured field studies as opposed to laboratory experiments.
Comparison & contrast,linkers that flag a similarity or a difference,relative to,"compared with, used to measure one thing against a reference point.",Wages rose only slightly relative to the steep increase in housing costs.
Comparison & contrast,linkers that flag a similarity or a difference,when set against,introduces a contrast by comparing something with another factor.,"When set against earlier estimates, the new figures appear surprisingly modest."
Comparison & contrast,linkers that flag a similarity or a difference,on a par with,at the same level or standard as something else.,Their literacy rates are now on a par with far wealthier nations.
Comparison & contrast,linkers that flag a similarity or a difference,in stark contrast,"emphasises a very sharp, striking difference between two things.","Rural incomes stagnated, in stark contrast to the booming urban economy."
Comparison & contrast,linkers that flag a similarity or a difference,conversely,introduces an opposite or reversed situation; used to flip a statement.,"Wealthier students often attend longer; conversely, poorer students leave early."
Comparison & contrast,linkers that flag a similarity or a difference,likewise,in the same way; used to add a parallel similar point.,"Diet affects longevity; likewise, regular exercise extends healthy life expectancy."
Comparison & contrast,linkers that flag a similarity or a difference,whereas,links two clauses to mark a direct contrast between them.,"Northern soils were fertile, whereas southern land remained dry and barren."
Degree & extent,hedging how much / how far — answer-deciders,to a large extent,"mostly, but not completely; hedges how far something is true.","To a large extent, the project's success depended on early community support."
Degree & extent,hedging how much / how far — answer-deciders,to some degree,partly true; acknowledges something is true only in part.,"The findings support the theory to some degree, but doubts remain."
Degree & extent,hedging how much / how far — answer-deciders,by and large,"generally, when considering the whole situation overall.","By and large, the reforms improved access to higher education nationwide."
Degree & extent,hedging how much / how far — answer-deciders,for the most part,"mainly or in most cases, allowing for some exceptions.","For the most part, the data confirmed the researchers' initial predictions."
Degree & extent,hedging how much / how far — answer-deciders,on the whole,considering everything; a general overall judgement.,"On the whole, the policy reduced emissions without harming economic growth."
Degree & extent,hedging how much / how far — answer-deciders,more or less,approximately or almost completely; an informal hedge.,The two surveys produced more or less identical results across regions.
Degree & extent,hedging how much / how far — answer-deciders,to a certain extent,partly; limits a claim to being true only in part.,"Genetics explains the disease to a certain extent, though lifestyle matters too."
Degree & extent,hedging how much / how far — answer-deciders,in large measure,to a great degree; mostly responsible for an outcome.,"The recovery was, in large measure, due to sustained government investment."
Degree & extent,hedging how much / how far — answer-deciders,up to a point,"true only partly, with clear limits beyond which it fails.","Higher pay motivates workers up to a point, then other factors dominate."
Degree & extent,hedging how much / how far — answer-deciders,if anything,used to suggest the opposite or a stronger version is true.,"The new method was not slower; if anything, it proved faster."
Degree & extent,hedging how much / how far — answer-deciders,at best / at worst,expressing the most or least favourable interpretation of something.,"The estimate is, at best, optimistic and, at worst, seriously misleading."
Trends & statistics,describing figures in graphs and data passages,a sharp rise,"a sudden, steep increase in a figure or measurement.",The graph shows a sharp rise in unemployment during the early 1990s.
Trends & statistics,describing figures in graphs and data passages,a steady increase,"a gradual, consistent growth over a period of time.",There was a steady increase in tourist numbers throughout the decade.
Trends & statistics,describing figures in graphs and data passages,a dramatic decline,"a large, striking fall in a figure or quantity.",Fish stocks suffered a dramatic decline after the new fishing methods spread.
Trends & statistics,describing figures in graphs and data passages,peak at,"to reach the highest point before falling, used with figures.",Visitor numbers peak at around two million during the summer months.
Trends & statistics,describing figures in graphs and data passages,account for (30%),to make up a stated proportion of a total.,Renewable sources now account for 30% of the country's electricity supply.
Trends & statistics,describing figures in graphs and data passages,on average,"typically, when figures are balanced across a whole group.","On average, households spent a quarter of their income on rent."
Trends & statistics,describing figures in graphs and data passages,a downward trend,a general pattern of decreasing values over time.,The figures reveal a downward trend in smoking among young adults.
Trends & statistics,describing figures in graphs and data passages,reach a record high,to climb to the highest level ever recorded.,Global temperatures reached a record high during the past calendar year.
Trends & statistics,describing figures in graphs and data passages,level off,to stop rising or falling and become stable.,"After years of rapid growth, sales began to level off in 2010."
Trends & statistics,describing figures in graphs and data passages,fluctuate widely,"to change frequently and by large amounts, with no steady pattern.",Oil prices fluctuated widely throughout the period of political instability.
Trends & statistics,describing figures in graphs and data passages,a tenfold increase,growth to ten times the original amount.,The city saw a tenfold increase in population over a single century.
Trends & statistics,describing figures in graphs and data passages,the figure stood at,used to state the exact value reached at a given time.,"By 2005, the figure stood at just over four million users."
Economy & money,recurring economics vocabulary,economic growth,an increase in a country's production of goods and services.,Sustained economic growth allowed the government to expand public services.
Economy & money,recurring economics vocabulary,disposable income,money left for spending or saving after taxes are paid.,Rising disposable income enabled families to spend more on leisure activities.
Economy & money,recurring economics vocabulary,market forces,the natural effects of supply and demand on prices.,"Left to market forces alone, housing became unaffordable for many residents."
Economy & money,recurring economics vocabulary,supply and demand,the relationship between available goods and buyers' desire for them.,Prices are determined by the balance between supply and demand.
Economy & money,recurring economics vocabulary,generate revenue,"to produce income, usually for a business or government.",The new tourist attraction is expected to generate substantial revenue annually.
Economy & money,recurring economics vocabulary,financial constraints,limits on activity caused by a lack of money.,Financial constraints forced the university to postpone its expansion plans.
Economy & money,recurring economics vocabulary,a budget deficit,when spending exceeds the money a government takes in.,The country ran a large budget deficit after the costly recovery programme.
Economy & money,recurring economics vocabulary,the cost of living,the amount needed to cover basic everyday expenses.,The rising cost of living put pressure on low-income households.
Economy & money,recurring economics vocabulary,a competitive edge,an advantage that helps one outperform rivals.,Investment in research gave the firm a clear competitive edge.
Economy & money,recurring economics vocabulary,economies of scale,cost savings gained by producing goods in larger quantities.,"Large factories benefit from economies of scale, lowering the price per unit."
Economy & money,recurring economics vocabulary,a thriving industry,an industry that is growing and very successful.,Tourism has become a thriving industry along the southern coastline.
Society & people,social-science passages lean on these,social cohesion,the sense of unity and cooperation within a community.,Shared public spaces are thought to strengthen social cohesion among residents.
Society & people,social-science passages lean on these,public opinion,the views held collectively by most people in society.,Public opinion gradually shifted in favour of stricter environmental laws.
Society & people,social-science passages lean on these,a demographic shift,a change in the structure of a population over time.,A demographic shift towards older citizens strained the pension system.
Society & people,social-science passages lean on these,an ageing population,a population in which older people form a growing share.,An ageing population increases demand for healthcare and long-term care.
Society & people,social-science passages lean on these,social mobility,the ability to move between social or economic classes.,Better access to education is widely seen as boosting social mobility.
Society & people,social-science passages lean on these,living standards,the level of comfort and wealth available to people.,Improved infrastructure gradually raised living standards across the region.
Society & people,social-science passages lean on these,the wider community,the broader group of people beyond an immediate circle.,The project aimed to benefit not just students but the wider community.
Society & people,social-science passages lean on these,a generation gap,differences in attitudes between younger and older people.,A widening generation gap emerged over the use of new technology.
Society & people,social-science passages lean on these,cultural identity,the sense of belonging shaped by shared traditions and values.,Migration can both enrich and threaten a community's cultural identity.
Society & people,social-science passages lean on these,the workforce,all the people engaged in or available for paid work.,More women entered the workforce as childcare options expanded.
Society & people,social-science passages lean on these,urban sprawl,the uncontrolled spread of a city into surrounding land.,Urban sprawl consumed valuable farmland on the outskirts of the capital.
Environment & nature,the most common Reading topic area,natural resources,"materials from nature, such as minerals, water, or timber.",The region's wealth was built on its abundant natural resources.
Environment & nature,the most common Reading topic area,biological diversity,the variety of living species within an ecosystem.,Deforestation poses a serious threat to the area's biological diversity.
Environment & nature,the most common Reading topic area,ecological balance,the stable relationship between organisms and their environment.,Introducing a new predator can disrupt the ecological balance entirely.
Environment & nature,the most common Reading topic area,carbon footprint,the total greenhouse gases produced by a person or activity.,Cycling to work helps individuals reduce their personal carbon footprint.
Environment & nature,the most common Reading topic area,climate change,long-term shifts in temperature and weather patterns globally.,Many scientists link climate change to rising sea levels worldwide.
Environment & nature,the most common Reading topic area,fossil fuels,"energy sources like coal, oil, and gas formed underground.",Burning fossil fuels releases large quantities of carbon dioxide.
Environment & nature,the most common Reading topic area,renewable energy,"power from sources that naturally replenish, such as wind or sun.",Investment in renewable energy reduced the country's dependence on imported oil.
Environment & nature,the most common Reading topic area,habitat loss,the destruction of natural areas where species live.,Habitat loss is the leading cause of decline among many bird species.
Environment & nature,the most common Reading topic area,the food chain,the order in which organisms feed on one another.,Pollutants accumulate as they move up through the food chain.
Environment & nature,the most common Reading topic area,an endangered species,a type of animal or plant at risk of extinction.,Conservation programmes were launched to protect several endangered species.
Environment & nature,the most common Reading topic area,greenhouse gases,gases that trap heat and contribute to global warming.,Reducing greenhouse gases requires cooperation between many industrialised nations.
Knowledge & learning,education and cognition passages,acquire knowledge,to gain understanding or information through study or experience.,Students acquire knowledge more effectively when they apply it practically.
Knowledge & learning,education and cognition passages,broaden one's horizons,"to widen one's experience, ideas, or understanding.",Studying abroad can broaden one's horizons in unexpected ways.
Knowledge & learning,education and cognition passages,a steep learning curve,"a process requiring rapid, demanding effort to master something.",New employees faced a steep learning curve during their first month.
Knowledge & learning,education and cognition passages,critical thinking,"careful, reasoned analysis of ideas and evidence.",Universities increasingly emphasise critical thinking over memorising facts.
Knowledge & learning,education and cognition passages,hands-on experience,practical learning gained by doing something directly.,Internships give graduates valuable hands-on experience before they enter work.
Knowledge & learning,education and cognition passages,transferable skills,abilities useful across many different jobs or contexts.,Teamwork and communication are transferable skills sought by most employers.
Knowledge & learning,education and cognition passages,rote learning,memorising information through repetition without understanding it.,Critics argue that rote learning discourages genuine intellectual engagement.
Knowledge & learning,education and cognition passages,retain information,to keep facts or knowledge in one's memory over time.,Students retain information better when they revise at regular intervals.
Knowledge & learning,education and cognition passages,a body of knowledge,the accumulated information and theory within a field.,Each experiment adds to the growing body of knowledge on memory.
Knowledge & learning,education and cognition passages,trial and error,learning by trying different methods until one succeeds.,The inventor refined the design through years of trial and error.
Knowledge & learning,education and cognition passages,intellectual curiosity,a strong desire to learn and understand new things.,Genuine intellectual curiosity drives many scientists to question accepted ideas.
Health & wellbeing,medicine and lifestyle passages,a balanced diet,eating a healthy variety of foods in proper proportions.,Doctors recommend a balanced diet rich in fruit and vegetables.
Health & wellbeing,medicine and lifestyle passages,life expectancy,the average number of years a person is likely to live.,Improved sanitation greatly increased life expectancy during the last century.
Health & wellbeing,medicine and lifestyle passages,mental health,a person's emotional and psychological wellbeing.,Workplace stress can have a serious effect on employees' mental health.
Health & wellbeing,medicine and lifestyle passages,a sedentary lifestyle,a way of living involving little physical activity.,A sedentary lifestyle is linked to higher rates of heart disease.
Health & wellbeing,medicine and lifestyle passages,physical activity,any movement that uses energy and benefits the body.,Regular physical activity reduces the risk of several chronic conditions.
Health & wellbeing,medicine and lifestyle passages,the immune system,the body's defence against infection and disease.,Poor sleep can weaken the immune system and increase illness.
Health & wellbeing,medicine and lifestyle passages,a chronic illness,a long-lasting disease that often cannot be fully cured.,Managing a chronic illness places considerable strain on healthcare resources.
Health & wellbeing,medicine and lifestyle passages,well-being,"a state of being comfortable, healthy, and content.",Access to green spaces is thought to improve residents' well-being.
Health & wellbeing,medicine and lifestyle passages,a healthy lifestyle,habits and choices that support good physical health.,Schools increasingly promote a healthy lifestyle through diet and exercise programmes.
Health & wellbeing,medicine and lifestyle passages,the onset of (a disease),the moment a disease or condition first begins.,Early screening can delay the onset of certain age-related diseases.
Health & wellbeing,medicine and lifestyle passages,prone to,"likely to suffer from or experience something, often negative.",People who skip meals are more prone to fatigue and poor concentration.
Risk & uncertainty,weighing danger and probability,run the risk of,to expose oneself to the possibility of something bad.,Companies that ignore safety run the risk of costly legal action.
Risk & uncertainty,weighing danger and probability,a calculated risk,a deliberate risk taken after weighing likely outcomes.,Investing early was a calculated risk that eventually paid off handsomely.
Risk & uncertainty,weighing danger and probability,mitigate risk,to reduce the chance or severity of potential harm.,Diversifying crops helped farmers mitigate the risk of total failure.
Risk & uncertainty,weighing danger and probability,a high degree of uncertainty,a situation in which outcomes are very difficult to predict.,The forecasts carried a high degree of uncertainty about future demand.
Risk & uncertainty,weighing danger and probability,weigh the risks,to consider and compare possible dangers before deciding.,Policymakers must weigh the risks before approving the new treatment.
Risk & uncertainty,weighing danger and probability,at stake,able to be won or lost depending on what happens.,"With thousands of jobs at stake, the negotiations attracted national attention."
Risk & uncertainty,weighing danger and probability,a potential hazard,something that could possibly cause harm or danger.,Researchers identified the chemical as a potential hazard to marine life.
Risk & uncertainty,weighing danger and probability,err on the side of caution,"to choose the safer, more careful option when unsure.","Lacking firm data, the committee chose to err on the side of caution."
Risk & uncertainty,weighing danger and probability,a worst-case scenario,the most unfavourable outcome that could possibly occur.,"In a worst-case scenario, the entire reservoir could run dry."
Risk & uncertainty,weighing danger and probability,a margin of error,the allowed amount by which a measurement may be inaccurate.,The survey results carried a margin of error of three percent.
Risk & uncertainty,weighing danger and probability,fraught with,"full of something undesirable, such as danger or difficulty.",The expedition was fraught with unexpected dangers and logistical problems.
